"variant","sample","mode","parsed","rejected","cell","rejects"
"A","01","cell-recentered","6","2","512x512","set00-frame-01:transparent/chroma pinholes: holes=3 area=20 largest=18 / set00-frame-03:transparent/chroma pinholes: holes=1 area=1 largest=1"
"A","01","greenfixed","6","2","443x443","set00-frame-01:transparent/chroma pinholes: holes=3 area=20 largest=18 / set00-frame-03:transparent/chroma pinholes: holes=1 area=1 largest=1"
"A","01","raw","0","8","443x443","set00-frame-00:content exists in x-boundary guard column 439 / set00-frame-01:content exists in x-boundary guard column 439 / set00-frame-02:content exists in x-boundary guard column 439 / set00-frame-03:content exists in x-boundary guard column 439 / set00-frame-04:content exists in x-boundary guard column 439 / set00-frame-05:content exists in x-boundary guard column 439 / set00-frame-06:content exists in x-boundary guard column 439 / set00-frame-07:content exists in x-boundary guard column 439"
"A","02","cell-recentered","7","1","512x512","set00-frame-00:transparent/chroma pinholes: holes=1 area=21 largest=21"
"A","02","greenfixed","7","1","443x443","set00-frame-00:transparent/chroma pinholes: holes=1 area=21 largest=21"
"A","02","raw","0","8","443x443","set00-frame-00:content exists in x-boundary guard column 439 / set00-frame-01:content exists in x-boundary guard column 439 / set00-frame-02:content exists in x-boundary guard column 439 / set00-frame-03:content exists in x-boundary guard column 439 / set00-frame-04:content exists in x-boundary guard column 439 / set00-frame-05:content exists in x-boundary guard column 439 / set00-frame-06:content exists in x-boundary guard column 439 / set00-frame-07:content exists in x-boundary guard column 439"
"B","01","cell-recentered","8","0","512x512",""
"B","01","greenfixed","8","0","443x443",""
"B","01","raw","0","8","443x443","set00-frame-00:content exists in x-boundary guard column 439 / set00-frame-01:content exists in x-boundary guard column 439 / set00-frame-02:content exists in x-boundary guard column 439 / set00-frame-03:content exists in x-boundary guard column 439 / set00-frame-04:content exists in x-boundary guard column 439 / set00-frame-05:content exists in x-boundary guard column 439 / set00-frame-06:content exists in x-boundary guard column 439 / set00-frame-07:content exists in x-boundary guard column 439"
"B","02","cell-recentered","7","1","512x512","set00-frame-02:transparent/chroma pinholes: holes=1 area=11 largest=11"
"B","02","greenfixed","7","1","443x443","set00-frame-02:transparent/chroma pinholes: holes=1 area=11 largest=11"
"B","02","raw","0","8","443x443","set00-frame-00:content exists in x-boundary guard column 439 / set00-frame-01:content exists in x-boundary guard column 439 / set00-frame-02:content exists in x-boundary guard column 439 / set00-frame-03:content exists in x-boundary guard column 439 / set00-frame-04:content exists in x-boundary guard column 439 / set00-frame-05:content exists in x-boundary guard column 439 / set00-frame-06:content exists in x-boundary guard column 439 / set00-frame-07:content exists in x-boundary guard column 439"
"C","01","cell-recentered","8","0","512x512",""
"C","01","greenfixed","8","0","443x443",""
"C","01","raw","0","8","443x443","set00-frame-00:content exists in x-boundary guard column 439 / set00-frame-01:content exists in x-boundary guard column 439 / set00-frame-02:content exists in x-boundary guard column 439 / set00-frame-03:content exists in x-boundary guard column 439 / set00-frame-04:content exists in x-boundary guard column 439 / set00-frame-05:content exists in x-boundary guard column 439 / set00-frame-06:content exists in x-boundary guard column 439 / set00-frame-07:content exists in x-boundary guard column 439"
"C","02","cell-recentered","8","0","512x512",""
"C","02","greenfixed","8","0","443x443",""
"C","02","raw","0","8","443x443","set00-frame-00:content exists in x-boundary guard column 439 / set00-frame-01:content exists in x-boundary guard column 439 / set00-frame-02:content exists in x-boundary guard column 439 / set00-frame-03:content exists in x-boundary guard column 439 / set00-frame-04:content exists in x-boundary guard column 439 / set00-frame-05:content exists in x-boundary guard column 439 / set00-frame-06:content exists in x-boundary guard column 439 / set00-frame-07:content exists in x-boundary guard column 439"
"D","01","cell-recentered","4","4","512x512","set00-frame-00:transparent/chroma pinholes: holes=2 area=7 largest=5 / set00-frame-03:transparent/chroma pinholes: holes=1 area=13 largest=13 / set00-frame-04:transparent/chroma pinholes: holes=2 area=54 largest=44 / set00-frame-07:transparent/chroma pinholes: holes=1 area=6 largest=6"
"D","01","greenfixed","4","4","443x443","set00-frame-00:transparent/chroma pinholes: holes=2 area=7 largest=5 / set00-frame-03:transparent/chroma pinholes: holes=1 area=13 largest=13 / set00-frame-04:transparent/chroma pinholes: holes=2 area=54 largest=44 / set00-frame-07:transparent/chroma pinholes: holes=1 area=6 largest=6"
"D","01","raw","0","8","443x443","set00-frame-00:content exists in x-boundary guard column 439 / set00-frame-01:content exists in x-boundary guard column 439 / set00-frame-02:content exists in x-boundary guard column 439 / set00-frame-03:content exists in x-boundary guard column 439 / set00-frame-04:content exists in x-boundary guard column 439 / set00-frame-05:content exists in x-boundary guard column 439 / set00-frame-06:content exists in x-boundary guard column 439 / set00-frame-07:content exists in x-boundary guard column 439"
"D","02","cell-recentered","6","2","512x512","set00-frame-00:transparent/chroma pinholes: holes=1 area=16 largest=16 / set00-frame-02:transparent/chroma pinholes: holes=1 area=2 largest=2"
"D","02","greenfixed","6","2","443x443","set00-frame-00:transparent/chroma pinholes: holes=1 area=16 largest=16 / set00-frame-02:transparent/chroma pinholes: holes=1 area=2 largest=2"
"D","02","raw","0","8","443x443","set00-frame-00:content exists in x-boundary guard column 439 / set00-frame-01:content exists in x-boundary guard column 439 / set00-frame-02:content exists in x-boundary guard column 439 / set00-frame-03:content exists in x-boundary guard column 439 / set00-frame-04:content exists in x-boundary guard column 439 / set00-frame-05:content exists in x-boundary guard column 439 / set00-frame-06:content exists in x-boundary guard column 439 / set00-frame-07:content exists in x-boundary guard column 439"
