timestamp_utc,frame,group,pose,attempt,source_path,raw_path,alpha_path,frame_path,contact_path,qa_json_path,decision,notes
2026-06-25T00:41:34.194690+00:00,32,turn,begin turning from right-facing side toward viewer,1,/Users/kyota/.codex/generated_images/019efc36-f49e-7400-a241-c813be169de6/ig_0586224e58f2ec77016a3c78ffc7548191acc5319eff04f3f6.png,docs/art-source/one-frame-method-fullrun-20260625-rescue/hamster-32-61/raw/frame-32-attempt-01-raw.png,docs/art-source/one-frame-method-fullrun-20260625-rescue/hamster-32-61/alpha/frame-32-attempt-01-alpha.png,docs/art-source/one-frame-method-fullrun-20260625-rescue/hamster-32-61/frames/frame-32.png,docs/art-source/one-frame-method-fullrun-20260625-rescue/hamster-32-61/contacts/frame-32-attempt-01-contact.png,docs/art-source/one-frame-method-fullrun-20260625-rescue/hamster-32-61/qa/frame-32-attempt-01-qa.json,candidate,prompt:prompts/frame-32-attempt-01-prompt.txt
2026-06-25T00:43:10.103135+00:00,33,turn,"three-quarter front turn, compact body",1,/Users/kyota/.codex/generated_images/019efc36-f49e-7400-a241-c813be169de6/ig_0e53e56e708b2b8d016a3c796eb07c81918dc074135035d489.png,docs/art-source/one-frame-method-fullrun-20260625-rescue/hamster-32-61/raw/frame-33-attempt-01-raw.png,docs/art-source/one-frame-method-fullrun-20260625-rescue/hamster-32-61/alpha/frame-33-attempt-01-alpha.png,docs/art-source/one-frame-method-fullrun-20260625-rescue/hamster-32-61/frames/frame-33.png,docs/art-source/one-frame-method-fullrun-20260625-rescue/hamster-32-61/contacts/frame-33-attempt-01-contact.png,docs/art-source/one-frame-method-fullrun-20260625-rescue/hamster-32-61/qa/frame-33-attempt-01-qa.json,candidate,prompt:prompts/frame-33-attempt-01-prompt.txt
2026-06-25T00:44:01.876447+00:00,33,turn,"three-quarter front turn, compact body",2,/Users/kyota/.codex/generated_images/019efc36-f49e-7400-a241-c813be169de6/ig_0addf2f836326a95016a3c79af65008191b16de066ba198e45.png,docs/art-source/one-frame-method-fullrun-20260625-rescue/hamster-32-61/raw/frame-33-attempt-02-raw.png,docs/art-source/one-frame-method-fullrun-20260625-rescue/hamster-32-61/alpha/frame-33-attempt-02-alpha.png,docs/art-source/one-frame-method-fullrun-20260625-rescue/hamster-32-61/frames/frame-33.png,docs/art-source/one-frame-method-fullrun-20260625-rescue/hamster-32-61/contacts/frame-33-attempt-02-contact.png,docs/art-source/one-frame-method-fullrun-20260625-rescue/hamster-32-61/qa/frame-33-attempt-02-qa.json,candidate,prompt:prompts/frame-33-attempt-02-prompt.txt
2026-06-25T00:44:40.020125+00:00,34,turn,"front-facing pause, both ears visible",1,/Users/kyota/.codex/generated_images/019efc36-f49e-7400-a241-c813be169de6/ig_02ca242737e25f70016a3c79d9e1448191a25a371477f97741.png,docs/art-source/one-frame-method-fullrun-20260625-rescue/hamster-32-61/raw/frame-34-attempt-01-raw.png,docs/art-source/one-frame-method-fullrun-20260625-rescue/hamster-32-61/alpha/frame-34-attempt-01-alpha.png,docs/art-source/one-frame-method-fullrun-20260625-rescue/hamster-32-61/frames/frame-34.png,docs/art-source/one-frame-method-fullrun-20260625-rescue/hamster-32-61/contacts/frame-34-attempt-01-contact.png,docs/art-source/one-frame-method-fullrun-20260625-rescue/hamster-32-61/qa/frame-34-attempt-01-qa.json,candidate,prompt:prompts/frame-34-attempt-01-prompt.txt
2026-06-25T00:45:37.572638+00:00,34,turn,"front-facing pause, both ears visible",2,/Users/kyota/.codex/generated_images/019efc36-f49e-7400-a241-c813be169de6/ig_057e5986f5aca10d016a3c7a011948819188a6366f7cc4de84.png,docs/art-source/one-frame-method-fullrun-20260625-rescue/hamster-32-61/raw/frame-34-attempt-02-raw.png,docs/art-source/one-frame-method-fullrun-20260625-rescue/hamster-32-61/alpha/frame-34-attempt-02-alpha.png,docs/art-source/one-frame-method-fullrun-20260625-rescue/hamster-32-61/frames/frame-34.png,docs/art-source/one-frame-method-fullrun-20260625-rescue/hamster-32-61/contacts/frame-34-attempt-02-contact.png,docs/art-source/one-frame-method-fullrun-20260625-rescue/hamster-32-61/qa/frame-34-attempt-02-qa.json,candidate,prompt:prompts/frame-34-attempt-02-prompt.txt
2026-06-25T00:46:56.831674+00:00,34,turn,"front-facing pause, both ears visible",3,/Users/kyota/.codex/generated_images/019efc36-f49e-7400-a241-c813be169de6/ig_00887ea83c55a07b016a3c7a5296e88191a19268ae5f7e0712.png,docs/art-source/one-frame-method-fullrun-20260625-rescue/hamster-32-61/raw/frame-34-attempt-03-raw.png,docs/art-source/one-frame-method-fullrun-20260625-rescue/hamster-32-61/alpha/frame-34-attempt-03-alpha.png,docs/art-source/one-frame-method-fullrun-20260625-rescue/hamster-32-61/frames/frame-34.png,docs/art-source/one-frame-method-fullrun-20260625-rescue/hamster-32-61/contacts/frame-34-attempt-03-contact.png,docs/art-source/one-frame-method-fullrun-20260625-rescue/hamster-32-61/qa/frame-34-attempt-03-qa.json,candidate,prompt:prompts/frame-34-attempt-03-prompt.txt
2026-06-25T00:47:51.616887+00:00,35,turn,"three-quarter left turn, compact body",1,/Users/kyota/.codex/generated_images/019efc36-f49e-7400-a241-c813be169de6/ig_0d3f758a4f4ecf33016a3c7a8dfdcc8191b12740aeb962ba7f.png,docs/art-source/one-frame-method-fullrun-20260625-rescue/hamster-32-61/raw/frame-35-attempt-01-raw.png,docs/art-source/one-frame-method-fullrun-20260625-rescue/hamster-32-61/alpha/frame-35-attempt-01-alpha.png,docs/art-source/one-frame-method-fullrun-20260625-rescue/hamster-32-61/frames/frame-35.png,docs/art-source/one-frame-method-fullrun-20260625-rescue/hamster-32-61/contacts/frame-35-attempt-01-contact.png,docs/art-source/one-frame-method-fullrun-20260625-rescue/hamster-32-61/qa/frame-35-attempt-01-qa.json,candidate,prompt:prompts/frame-35-attempt-01-prompt.txt
2026-06-25T00:48:30.627164+00:00,36,turn,"left-facing side view, small tail visible",1,/Users/kyota/.codex/generated_images/019efc36-f49e-7400-a241-c813be169de6/ig_0b8148b25c799b0f016a3c7ac142cc819180d74c643b82eab3.png,docs/art-source/one-frame-method-fullrun-20260625-rescue/hamster-32-61/raw/frame-36-attempt-01-raw.png,docs/art-source/one-frame-method-fullrun-20260625-rescue/hamster-32-61/alpha/frame-36-attempt-01-alpha.png,docs/art-source/one-frame-method-fullrun-20260625-rescue/hamster-32-61/frames/frame-36.png,docs/art-source/one-frame-method-fullrun-20260625-rescue/hamster-32-61/contacts/frame-36-attempt-01-contact.png,docs/art-source/one-frame-method-fullrun-20260625-rescue/hamster-32-61/qa/frame-36-attempt-01-qa.json,candidate,prompt:prompts/frame-36-attempt-01-prompt.txt
2026-06-25T00:49:59.308867+00:00,37,turn,turning back from left toward viewer,1,/Users/kyota/.codex/generated_images/019efc36-f49e-7400-a241-c813be169de6/ig_0500e8406021704c016a3c7b05b84481918702f13ccc78313d.png,docs/art-source/one-frame-method-fullrun-20260625-rescue/hamster-32-61/raw/frame-37-attempt-01-raw.png,docs/art-source/one-frame-method-fullrun-20260625-rescue/hamster-32-61/alpha/frame-37-attempt-01-alpha.png,docs/art-source/one-frame-method-fullrun-20260625-rescue/hamster-32-61/frames/frame-37.png,docs/art-source/one-frame-method-fullrun-20260625-rescue/hamster-32-61/contacts/frame-37-attempt-01-contact.png,docs/art-source/one-frame-method-fullrun-20260625-rescue/hamster-32-61/qa/frame-37-attempt-01-qa.json,candidate,prompt:prompts/frame-37-attempt-01-prompt.txt
2026-06-25T00:50:54.077107+00:00,38,turn,three-quarter right return,1,/Users/kyota/.codex/generated_images/019efc36-f49e-7400-a241-c813be169de6/ig_007bd4fdf8f3589e016a3c7b4289208191990cb86b6dae8301.png,docs/art-source/one-frame-method-fullrun-20260625-rescue/hamster-32-61/raw/frame-38-attempt-01-raw.png,docs/art-source/one-frame-method-fullrun-20260625-rescue/hamster-32-61/alpha/frame-38-attempt-01-alpha.png,docs/art-source/one-frame-method-fullrun-20260625-rescue/hamster-32-61/frames/frame-38.png,docs/art-source/one-frame-method-fullrun-20260625-rescue/hamster-32-61/contacts/frame-38-attempt-01-contact.png,docs/art-source/one-frame-method-fullrun-20260625-rescue/hamster-32-61/qa/frame-38-attempt-01-qa.json,candidate,prompt:prompts/frame-38-attempt-01-prompt.txt
