"variant","sample","mode","parsed","rejected","cell","rejects"
"F","01","cell-recentered","7","1","512x512","set00-frame-02:transparent/chroma pinholes: holes=1 area=1 largest=1"
"F","01","greenfixed","7","1","443x443","set00-frame-02:transparent/chroma pinholes: holes=1 area=1 largest=1"
"F","01","raw","0","8","443x443","set00-frame-00:content exists in x-boundary guard column 439 / set00-frame-01:content exists in x-boundary guard column 439 / set00-frame-02:content exists in x-boundary guard column 439 / set00-frame-03:content exists in x-boundary guard column 439 / set00-frame-04:content exists in x-boundary guard column 439 / set00-frame-05:content exists in x-boundary guard column 439 / set00-frame-06:content exists in x-boundary guard column 439 / set00-frame-07:content exists in x-boundary guard column 439"
"F","02","cell-recentered","5","3","512x512","set00-frame-00:disconnected alpha components: components=2 detached=1 detached_area=4 largest_detached=4 / set00-frame-06:disconnected alpha components: components=2 detached=1 detached_area=5 largest_detached=5 / set00-frame-07:disconnected alpha components: components=3 detached=1 detached_area=4 largest_detached=4"
"F","02","greenfixed","5","3","443x443","set00-frame-00:disconnected alpha components: components=2 detached=1 detached_area=4 largest_detached=4 / set00-frame-06:disconnected alpha components: components=2 detached=1 detached_area=5 largest_detached=5 / set00-frame-07:disconnected alpha components: components=3 detached=1 detached_area=4 largest_detached=4"
"F","02","raw","0","8","443x443","set00-frame-00:content exists in x-boundary guard column 439 / set00-frame-01:content exists in x-boundary guard column 439 / set00-frame-02:content exists in x-boundary guard column 439 / set00-frame-03:content exists in x-boundary guard column 439 / set00-frame-04:content exists in x-boundary guard column 439 / set00-frame-05:content exists in x-boundary guard column 439 / set00-frame-06:content exists in x-boundary guard column 439 / set00-frame-07:content exists in x-boundary guard column 439"
"F","03","cell-recentered","5","3","512x512","set00-frame-01:disconnected alpha components: components=2 detached=1 detached_area=5 largest_detached=5 / set00-frame-02:transparent/chroma pinholes: holes=1 area=3 largest=3 / set00-frame-04:transparent/chroma pinholes: holes=1 area=1 largest=1"
"F","03","greenfixed","5","3","443x443","set00-frame-01:disconnected alpha components: components=2 detached=1 detached_area=5 largest_detached=5 / set00-frame-02:transparent/chroma pinholes: holes=1 area=3 largest=3 / set00-frame-04:transparent/chroma pinholes: holes=1 area=1 largest=1"
"F","03","raw","0","8","443x443","set00-frame-00:content exists in x-boundary guard column 439 / set00-frame-01:content exists in x-boundary guard column 439 / set00-frame-02:content exists in x-boundary guard column 439 / set00-frame-03:content exists in x-boundary guard column 439 / set00-frame-04:content exists in x-boundary guard column 439 / set00-frame-05:content exists in x-boundary guard column 439 / set00-frame-06:content exists in x-boundary guard column 439 / set00-frame-07:content exists in x-boundary guard column 439"
"F","04","cell-recentered","6","2","512x512","set00-frame-00:transparent/chroma pinholes: holes=1 area=2 largest=2 / set00-frame-05:transparent/chroma pinholes: holes=1 area=1 largest=1"
"F","04","greenfixed","0","8","443x443","set00-frame-00:content exists in x-boundary guard column 1330 / set00-frame-01:content exists in x-boundary guard column 1330 / set00-frame-02:content exists in x-boundary guard column 1330 / set00-frame-03:content exists in x-boundary guard column 1330 / set00-frame-04:content exists in x-boundary guard column 1330 / set00-frame-05:content exists in x-boundary guard column 1330 / set00-frame-06:content exists in x-boundary guard column 1330 / set00-frame-07:content exists in x-boundary guard column 1330"
"F","04","raw","0","8","443x443","set00-frame-00:content exists in x-boundary guard column 439 / set00-frame-01:content exists in x-boundary guard column 439 / set00-frame-02:content exists in x-boundary guard column 439 / set00-frame-03:content exists in x-boundary guard column 439 / set00-frame-04:content exists in x-boundary guard column 439 / set00-frame-05:content exists in x-boundary guard column 439 / set00-frame-06:content exists in x-boundary guard column 439 / set00-frame-07:content exists in x-boundary guard column 439"
